Sample	CoveredSite	MSIsensor
TCGA-CF-A3MI	1907	4.98
TCGA-CG-4300	1821	0.22
TCGA-CG-4301	1324	7.70
TCGA-CG-4304	1360	0.00
TCGA-CG-4305	2076	0.63
TCGA-CG-4306	1865	3.43
TCGA-CG-4436	2174	0.09
TCGA-CG-4437	1637	0.00
TCGA-CG-4440	1130	0.00
TCGA-CG-4441	3081	0.00
TCGA-CG-4442	2128	4.28
TCGA-CG-4443	1530	2.16
TCGA-CG-4444	1216	0.00
TCGA-CG-4449	1135	0.09
TCGA-CG-4455	1142	0.00
TCGA-CG-4460	1042	1.44
TCGA-CG-4462	1055	7.01
TCGA-CG-4465	2426	0.74
TCGA-CG-4466	873	19.82
TCGA-CG-4469	2157	1.62
TCGA-CG-4472	2561	2.11
TCGA-CG-4474	2498	0.00
TCGA-CG-4475	2533	0.04
TCGA-CG-4476	2155	0.00
TCGA-CG-4477	680	30.88
TCGA-CG-5717	1972	0.00
TCGA-CG-5718	2037	3.58
TCGA-CG-5719	1842	1.52
TCGA-CG-5720	1901	0.00
TCGA-CG-5721	2377	3.41
TCGA-CG-5722	2311	0.56
TCGA-CG-5723	2698	1.63
TCGA-CG-5724	2324	0.34
TCGA-CG-5725	2141	1.07
TCGA-CG-5726	2347	1.53
TCGA-CG-5727	2263	1.02
TCGA-CG-5728	2293	3.31
TCGA-CG-5730	1846	1.19
TCGA-CG-5732	2123	0.00
TCGA-CG-5733	2013	4.07
TCGA-CG-5734	2199	0.09
TCGA-CH-5741	2849	0.00
TCGA-CH-5743	2718	0.00
TCGA-CH-5744	2699	0.04
TCGA-CH-5745	2929	1.57
TCGA-CH-5746	2448	0.12
TCGA-CH-5748	2437	0.37
TCGA-CH-5750	2524	0.71
TCGA-CH-5751	2528	0.67
TCGA-CH-5752	2997	0.07
TCGA-CH-5753	2700	2.22
TCGA-CH-5754	2976	0.77
TCGA-CH-5761	3769	0.00
TCGA-CH-5762	3008	0.00
TCGA-CH-5763	3446	0.00
TCGA-CH-5764	3420	0.00
TCGA-CH-5765	3008	0.03
TCGA-CH-5766	2496	0.00
TCGA-CH-5767	1833	0.11
TCGA-CH-5768	3011	0.00
TCGA-CH-5769	3233	0.00
TCGA-CH-5771	3543	0.00
TCGA-CH-5772	3100	0.00
TCGA-CH-5788	1934	3.26
TCGA-CH-5789	2170	2.49
TCGA-CH-5790	2321	0.60
TCGA-CH-5791	1856	2.91
TCGA-CH-5792	2032	5.02
TCGA-CH-5794	1990	1.01
TCGA-CN-4725	1579	3.36
TCGA-CN-4727	1927	2.49
TCGA-CN-4729	1833	5.73
TCGA-CN-4730	1895	1.48
TCGA-CN-4731	1796	2.73
TCGA-CN-4733	2209	5.57
TCGA-CN-4734	1787	2.57
TCGA-CN-4735	1310	6.72
TCGA-CN-4736	1593	3.14
TCGA-CN-4737	1839	7.45
TCGA-CN-4738	2488	0.08
TCGA-CN-4739	2456	4.36
TCGA-CN-4740	2709	0.00
TCGA-CN-4741	1963	0.00
