Sample	CoveredSite	MSIsensorScore
TCGA-AB-2988-03A-01D-0742-05	625371	0.07
TCGA-AB-2989-03A-01D-0742-05	436718	0.07
TCGA-AB-2990-03A-01D-0742-05	399360	0.03
TCGA-AB-2991-03A-01D-0741-05	467051	0.01
TCGA-AB-2992-03A-01D-0739-09	346890	0.45
TCGA-AB-2993-03A-01D-0741-05	342198	0.12
TCGA-AB-2994-03A-01D-0739-09	236424	0.42
TCGA-AB-2995-03A-01D-0741-05	330700	0.03
TCGA-AB-2996-03A-01D-0741-05	498051	0.04
TCGA-AB-2997-03A-01D-0739-09	215489	0.31
TCGA-AB-2998-03A-01D-0742-05	575790	0.01
TCGA-AB-2999-03A-01D-0739-09	177137	1.04
TCGA-AB-3000-03A-01D-0741-05	307338	0.08
TCGA-AB-3001-03A-01D-0741-05	204391	0.21
TCGA-AB-3002-03A-01D-0739-09	372230	0.08
TCGA-AB-3005-03A-01D-0739-09	756332	0.03
TCGA-AB-3006-03A-01D-0741-05	428559	0.02
TCGA-AB-3007-03A-01D-0741-05	325777	0.02
TCGA-AB-3008-03A-01D-0741-05	422860	0.20
TCGA-AB-3009-03A-01D-0741-05	306766	0.06
TCGA-AB-3011-03A-01D-0739-09	811744	4.65
TCGA-AB-3012-03A-01D-0741-05	321624	0.13
TCGA-AD-6964-01A-11D-1924-10	777940	8.42
TCGA-AD-A5EJ-01A-11D-A28G-10	1061076	24.43
TCGA-AD-A5EK-01A-11D-A28G-10	953523	0.96
TCGA-AF-2689-01A-01D-1989-10	712170	0.14
TCGA-AF-2691-01A-01D-1989-10	544081	0.01
TCGA-AF-3913-01A-02D-1459-10	464307	0.14
TCGA-AG-3574-01A-01D-1989-10	457316	0.15
TCGA-AG-3582-01A-01D-1989-10	415380	0.55
TCGA-AG-3593-01A-01D-1525-10	441462	0.13
TCGA-AG-3727-01A-01D-1989-10	459184	0.29
TCGA-AG-3885-01A-01D-0967-10	431065	0.21
TCGA-AG-3890-01A-01D-1989-10	512482	0.04
TCGA-AG-3896-01A-01D-1989-10	738690	0.14
TCGA-AG-3901-01A-01D-1989-10	547366	0.00
TCGA-AG-4007-01A-01D-1989-10	552552	0.10
TCGA-AG-4008-01A-01D-1989-10	710528	0.04
TCGA-AG-4015-01A-01D-1989-10	588544	0.19
TCGA-AG-A002-01A-01D-A183-10	174353	14.68
TCGA-AG-A032-01A-01D-A183-10	669614	0.03
TCGA-AJ-A23M-01A-11D-A34H-09	903657	0.19
TCGA-AK-3428-01A-02D-2096-10	378669	0.10
TCGA-AK-3454-01A-02D-2096-10	561269	0.00
TCGA-AK-3455-01A-01D-2233-10	611683	0.00
TCGA-AL-3466-01A-02D-1402-10	751632	0.03
TCGA-AL-3467-01A-02D-1402-10	733724	0.01
TCGA-AL-3468-01A-02D-1402-10	852555	0.23
TCGA-AL-3472-01A-01D-1253-10	947146	0.30
TCGA-AL-3473-01A-01D-1253-10	965099	0.00
TCGA-AL-A5DJ-01A-11D-A26P-10	874965	0.50
TCGA-AN-A04D-01A-21D-A314-09	982565	0.35
TCGA-AN-A0AT-01A-11D-A045-09	844198	0.09
TCGA-AN-A0G0-01A-11D-A045-09	935058	0.46
TCGA-AN-A0XR-01A-11D-A10G-09	931129	0.06
TCGA-AO-A03L-01A-41D-A19H-09	936103	0.01
TCGA-AO-A03N-01B-11D-A19H-09	978537	0.02
TCGA-AO-A0J2-01A-11D-A19H-09	953706	0.50
TCGA-AO-A0J4-01A-11D-A128-09	775315	0.04
TCGA-AO-A0J6-01A-11D-A128-09	683878	0.29
TCGA-AO-A0JM-01A-21D-A19H-09	1013028	0.06
TCGA-AO-A124-01A-11D-A10M-09	740961	1.95
TCGA-AO-A12H-01A-11D-A10Y-09	830322	0.00
TCGA-AP-A051-01A-21D-A013-09	798410	8.21
TCGA-AP-A052-01A-11D-A013-09	952674	0.10
TCGA-AP-A053-01A-21D-A013-09	938417	0.25
TCGA-AP-A054-01A-11D-A066-09	861860	15.14
TCGA-AP-A054	861860	15.14
TCGA-AP-A05A-01A-11D-A013-09	881236	0.04
TCGA-AP-A05D-01A-11D-A013-09	687302	0.08
TCGA-AP-A0L8-01A-11D-A066-09	918245	1.45
TCGA-AP-A0L8	918245	1.45
TCGA-AP-A0LD-01A-11D-A066-09	1052301	18.55
TCGA-AP-A0LD	1052301	18.55
TCGA-AP-A0LF-01A-11D-A122-09	893043	0.06
TCGA-AP-A0LH-01A-11D-A066-09	872908	0.07
TCGA-AP-A0LH	872908	0.07
TCGA-AP-A0LI-01A-11D-A066-09	929992	0.04
TCGA-AP-A0LI	929992	0.04
TCGA-AP-A0LL-01A-12D-A127-09	992581	0.17
TCGA-AP-A0LL	992581	0.17
TCGA-AP-A0LO-01A-11D-A066-09	918873	0.01
TCGA-AP-A0LO	918873	0.01
TCGA-AQ-A04J-01A-02D-A128-09	769889	0.03
TCGA-AR-A0TX-01A-11D-A19H-09	943791	0.01
TCGA-AR-A24Z-01A-11D-A314-09	691289	0.20
TCGA-AR-A256-01A-11D-A167-09	722070	0.56
TCGA-AR-A2LK-01A-11D-A17W-09	742893	0.21
TCGA-AX-A05S-01A-11D-A013-09	717358	18.18
TCGA-AX-A06B-01A-11D-A325-09	694982	0.07
TCGA-AX-A0J1-01A-11D-A066-09	958209	13.45
TCGA-AX-A0J1	958209	13.45
TCGA-AX-A1C8-01A-11D-A135-09	760323	0.05
TCGA-AX-A1CI-01A-11D-A135-09	959418	0.15
TCGA-AX-A2H5-01A-11D-A34H-09	697033	0.55
TCGA-AY-A54L-01A-11D-A28G-10	998638	0.24
TCGA-AZ-4315-01A-01W-1461-10	676936	0.54
TCGA-AZ-6601-01A-11D-1771-10	744296	5.81
TCGA-B0-5094-01A-01D-2099-10	494111	0.01
TCGA-B0-5693-01A-11D-2103-10	583641	0.00
TCGA-B0-5695-01A-11D-2103-10	799962	0.00
TCGA-B2-4099-01A-02D-2095-10	542328	0.02
TCGA-B2-4101-01A-02D-2096-10	864741	0.00
TCGA-B3-3925-01A-02D-1402-10	306018	0.01
TCGA-B3-3926-01A-02D-1402-10	991458	0.65
TCGA-B3-4103-01A-02D-1402-10	286488	0.01
TCGA-B3-4104-01A-02D-1402-10	970984	0.02
